Cedi,Cliente,Transporte,Flete
CD6,CL8,SECO,727.0
CD1,CL13,SECO,204.0
CD6,CL10,SECO,328.0
CD6,CL16,SECO,420.0
CD8,CL13,SECO,205.0
CD1,CL11,SECO,482.0
CD1,CL14,SECO,1509.0
CD2,CL16,SECO,0.0
CD4,CL9,SECO,409.0
CD1,CL17,SECO,417.0
CD3,CL8,SECO,477.0
CD5,CL11,SECO,387.0
CD3,CL14,SECO,602.0
CD3,CL13,SECO,156.0
CD3,CL14,REFRIGERADO,950.0
CD6,CL10,REFRIGERADO,492.0
CD3,CL8,REFRIGERADO,0.0
CD3,CL17,CONGELADO,0.0
CD3,CL7,CONGELADO,0.0
CD6,CL7,CONGELADO,0.0
CD3,CL12,CONGELADO,0.0
CD3,CL14,CONGELADO,1148.0
CD3,CL15,CONGELADO,0.0
CD3,CL16,CONGELADO,0.0
CD2,CL11,SECO,416.3488372093023
CD8,CL7,SECO,416.3488372093023
CD6,CL17,SECO,416.3488372093023
CD7,CL10,SECO,416.3488372093023
CD7,CL11,SECO,416.3488372093023
CD1,CL7,SECO,416.3488372093023
CD2,CL17,SECO,416.3488372093023
CD8,CL16,SECO,416.3488372093023
CD3,CL11,SECO,416.3488372093023
CD8,CL10,SECO,416.3488372093023
CD3,CL10,SECO,416.3488372093023
CD4,CL10,SECO,416.3488372093023
CD4,CL17,SECO,416.3488372093023
CD3,CL9,SECO,416.3488372093023
CD4,CL12,SECO,416.3488372093023
CD4,CL14,SECO,416.3488372093023
CD1,CL10,SECO,416.3488372093023
CD7,CL17,SECO,416.3488372093023
CD2,CL7,SECO,416.3488372093023
CD5,CL8,SECO,416.3488372093023
CD5,CL9,SECO,416.3488372093023
CD5,CL10,SECO,416.3488372093023
CD5,CL12,SECO,416.3488372093023
CD1,CL16,SECO,416.3488372093023
CD5,CL13,SECO,416.3488372093023
CD5,CL16,SECO,416.3488372093023
CD7,CL15,SECO,416.3488372093023
CD5,CL15,SECO,416.3488372093023
CD8,CL15,SECO,416.3488372093023
CD2,CL15,SECO,416.3488372093023
CD5,CL14,REFRIGERADO,416.3488372093023
CD4,CL16,REFRIGERADO,416.3488372093023
CD4,CL14,REFRIGERADO,416.3488372093023
CD2,CL10,REFRIGERADO,416.3488372093023
CD4,CL13,REFRIGERADO,416.3488372093023
CD6,CL13,REFRIGERADO,416.3488372093023
CD4,CL10,REFRIGERADO,416.3488372093023
CD5,CL16,REFRIGERADO,416.3488372093023
CD6,CL15,REFRIGERADO,416.3488372093023
CD5,CL15,REFRIGERADO,416.3488372093023
CD3,CL12,REFRIGERADO,416.3488372093023
CD2,CL12,REFRIGERADO,416.3488372093023
CD2,CL8,REFRIGERADO,416.3488372093023
CD4,CL8,REFRIGERADO,416.3488372093023
CD4,CL15,REFRIGERADO,416.3488372093023
CD6,CL8,REFRIGERADO,416.3488372093023
CD2,CL14,CONGELADO,416.3488372093023
CD2,CL7,CONGELADO,416.3488372093023
CD6,CL12,CONGELADO,416.3488372093023
CD6,CL17,CONGELADO,416.3488372093023
CD4,CL11,CONGELADO,416.3488372093023
CD2,CL15,CONGELADO,416.3488372093023
CD6,CL16,CONGELADO,416.3488372093023
CD4,CL14,CONGELADO,416.3488372093023
CD4,CL12,CONGELADO,416.3488372093023
CD8,CL10,CONGELADO,416.3488372093023
CD7,CL16,CONGELADO,416.3488372093023
CD2,CL10,CONGELADO,416.3488372093023
CD4,CL15,CONGELADO,416.3488372093023
CD2,CL13,CONGELADO,416.3488372093023
CD8,CL16,CONGELADO,416.3488372093023
CD5,CL17,CONGELADO,416.3488372093023
CD7,CL11,CONGELADO,416.3488372093023
CD5,CL14,CONGELADO,416.3488372093023
CD7,CL12,CONGELADO,416.3488372093023
CD7,CL13,CONGELADO,416.3488372093023
CD2,CL17,CONGELADO,416.3488372093023
CD5,CL12,CONGELADO,416.3488372093023
CD8,CL13,CONGELADO,416.3488372093023
CD8,CL17,CONGELADO,416.3488372093023
CD6,CL13,SECO,444.0
CD3,CL7,SECO,408.0
CD2,CL12,SECO,0.0
CD2,CL13,SECO,0.0
CD6,CL7,SECO,588.0
CD6,CL12,SECO,370.0
CD6,CL14,SECO,276.0
CD2,CL14,SECO,0.0
CD7,CL7,SECO,323.0
CD1,CL9,SECO,162.0
CD7,CL13,SECO,221.0
CD1,CL12,SECO,287.0
CD3,CL17,SECO,374.0
CD2,CL10,SECO,0.0
CD1,CL8,SECO,510.0
CD3,CL15,SECO,312.0
CD6,CL16,REFRIGERADO,463.0
CD3,CL13,REFRIGERADO,98.0
CD6,CL14,REFRIGERADO,360.0
CD6,CL12,REFRIGERADO,491.0
CD3,CL15,REFRIGERADO,0.0
CD3,CL13,CONGELADO,578.0
CD6,CL10,CONGELADO,648.0
CD3,CL11,CONGELADO,0.0
CD2,CL8,SECO,416.3488372093023
CD6,CL9,SECO,416.3488372093023
CD6,CL11,SECO,416.3488372093023
CD4,CL16,SECO,416.3488372093023
CD8,CL14,SECO,416.3488372093023
CD2,CL9,SECO,416.3488372093023
CD5,CL17,SECO,416.3488372093023
CD7,CL9,SECO,416.3488372093023
CD8,CL17,SECO,416.3488372093023
CD7,CL12,SECO,416.3488372093023
CD7,CL14,SECO,416.3488372093023
CD7,CL16,SECO,416.3488372093023
CD7,CL8,SECO,416.3488372093023
CD4,CL11,SECO,416.3488372093023
CD4,CL7,SECO,416.3488372093023
CD4,CL8,SECO,416.3488372093023
CD8,CL9,SECO,416.3488372093023
CD4,CL13,SECO,416.3488372093023
CD8,CL8,SECO,416.3488372093023
CD3,CL16,SECO,416.3488372093023
CD3,CL12,SECO,416.3488372093023
CD5,CL7,SECO,416.3488372093023
CD8,CL12,SECO,416.3488372093023
CD8,CL11,SECO,416.3488372093023
CD5,CL14,SECO,416.3488372093023
CD1,CL15,SECO,416.3488372093023
CD4,CL15,SECO,416.3488372093023
CD6,CL15,SECO,416.3488372093023
CD3,CL10,REFRIGERADO,416.3488372093023
CD2,CL16,REFRIGERADO,416.3488372093023
CD2,CL14,REFRIGERADO,416.3488372093023
CD5,CL13,REFRIGERADO,416.3488372093023
CD5,CL10,REFRIGERADO,416.3488372093023
CD2,CL13,REFRIGERADO,416.3488372093023
CD3,CL16,REFRIGERADO,416.3488372093023
CD5,CL8,REFRIGERADO,416.3488372093023
CD4,CL12,REFRIGERADO,416.3488372093023
CD5,CL12,REFRIGERADO,416.3488372093023
CD2,CL15,REFRIGERADO,416.3488372093023
CD2,CL12,CONGELADO,416.3488372093023
CD2,CL16,CONGELADO,416.3488372093023
CD6,CL14,CONGELADO,416.3488372093023
CD8,CL12,CONGELADO,416.3488372093023
CD2,CL11,CONGELADO,416.3488372093023
CD4,CL13,CONGELADO,416.3488372093023
CD7,CL17,CONGELADO,416.3488372093023
CD5,CL7,CONGELADO,416.3488372093023
CD8,CL11,CONGELADO,416.3488372093023
CD6,CL11,CONGELADO,416.3488372093023
CD6,CL15,CONGELADO,416.3488372093023
CD4,CL17,CONGELADO,416.3488372093023
CD8,CL15,CONGELADO,416.3488372093023
CD8,CL7,CONGELADO,416.3488372093023
CD6,CL13,CONGELADO,416.3488372093023
CD4,CL7,CONGELADO,416.3488372093023
CD7,CL7,CONGELADO,416.3488372093023
CD5,CL16,CONGELADO,416.3488372093023
CD7,CL10,CONGELADO,416.3488372093023
CD5,CL15,CONGELADO,416.3488372093023
CD4,CL16,CONGELADO,416.3488372093023
CD3,CL10,CONGELADO,416.3488372093023
CD5,CL11,CONGELADO,416.3488372093023
CD5,CL13,CONGELADO,416.3488372093023
CD5,CL10,CONGELADO,416.3488372093023
CD4,CL10,CONGELADO,416.3488372093023
CD7,CL14,CONGELADO,416.3488372093023
CD8,CL14,CONGELADO,416.3488372093023
CD7,CL15,CONGELADO,416.3488372093023
